order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1499978,61797,prior,8,2,16,6.0
375538,164984,prior,4,5,10,6.0
1908032,43206,prior,38,3,8,2.0
1170719,115690,prior,19,4,12,2.0
558248,145165,prior,2,0,14,21.0
2650090,85910,prior,57,1,13,1.0
2112482,80662,prior,25,1,9,4.0
2635817,190944,prior,4,6,11,13.0
1609144,38139,prior,11,0,15,30.0
989851,85397,prior,6,0,16,30.0
117509,93654,prior,9,1,12,2.0
255872,134992,prior,8,6,13,21.0
3026834,51318,prior,3,6,20,10.0
2051036,122855,prior,37,1,8,6.0
2492316,82086,prior,12,4,11,30.0
501784,36255,prior,11,4,10,5.0
1437566,5621,prior,13,4,7,30.0
171508,33783,prior,6,6,3,28.0
1738073,88837,prior,8,3,20,9.0
770670,164842,prior,1,4,11,
2584127,73688,prior,7,1,17,30.0
1324406,25988,prior,17,1,5,29.0
298294,196679,prior,3,0,16,0.0
2615066,25306,prior,95,4,13,1.0
427106,91931,prior,1,1,9,
2256239,112965,prior,20,1,18,7.0
555159,175496,prior,3,6,18,30.0
1341984,96486,prior,42,3,13,8.0
2163223,177940,prior,1,0,12,
808519,63519,prior,12,4,19,21.0
2044098,128834,prior,7,1,8,12.0
1062899,79145,prior,18,4,9,6.0
1509937,183119,prior,32,2,11,6.0
1558369,157072,prior,12,0,13,6.0
984438,26720,prior,4,0,13,1.0
330358,179858,prior,33,2,9,3.0
986797,138849,prior,25,5,10,2.0
540980,52975,prior,3,5,6,9.0
628988,149087,prior,29,2,18,12.0
2665738,180766,prior,7,1,15,16.0
2104209,16897,prior,2,4,18,22.0
2321946,68306,test,52,1,13,6.0
2224311,171386,prior,17,4,7,7.0
2176397,7084,prior,25,3,19,10.0
9566,162189,prior,11,2,11,8.0
1802290,40840,prior,1,2,16,
3419320,129663,prior,4,1,9,11.0
1043099,117410,prior,8,3,15,14.0
2026610,32557,prior,11,2,15,20.0
1619456,150802,prior,3,0,23,17.0
769211,14230,prior,70,4,9,3.0
2611096,75532,prior,22,5,11,4.0
219075,197895,prior,3,2,9,13.0
1839297,148247,prior,10,4,11,7.0
1119359,20077,prior,1,6,13,
2090858,16132,prior,12,5,14,30.0
3010268,94630,prior,7,1,7,7.0
3381489,14893,prior,33,6,11,6.0
1245745,77833,prior,9,3,13,14.0
3054684,93942,prior,28,3,11,1.0
2904814,35078,prior,1,3,12,
719223,81151,prior,28,6,16,13.0
1396641,62262,prior,6,1,9,30.0
3154924,139757,prior,53,4,16,8.0
2427559,182240,prior,20,6,14,9.0
2661572,149457,prior,9,5,16,5.0
2200438,151842,prior,15,3,15,7.0
1683254,67168,prior,5,5,7,3.0
1573249,127521,prior,19,2,13,13.0
3075423,122255,prior,4,3,5,30.0
1358676,41276,prior,15,5,11,6.0
1511896,78178,prior,2,2,18,5.0
1767700,31703,train,16,4,20,30.0
818770,26243,train,18,1,11,19.0
3367087,201134,prior,14,1,9,3.0
664082,193855,prior,14,1,15,13.0
2194238,203001,prior,7,3,19,30.0
1125083,125978,prior,35,1,14,7.0
1730137,160991,prior,8,2,21,0.0
3112241,31119,prior,35,5,12,7.0
2188689,32383,prior,34,2,14,5.0
2425752,2937,prior,22,0,14,6.0
3207903,175811,prior,6,5,1,4.0
2080689,104540,prior,11,5,15,7.0
2020213,71797,prior,35,5,11,4.0
2356858,49165,prior,1,5,14,
3045441,198747,prior,2,2,14,3.0
2844071,159544,prior,7,6,17,30.0
2269558,205524,prior,8,4,17,6.0
2091313,184656,prior,30,0,13,8.0
2000573,125221,prior,6,1,8,16.0
1705152,3695,train,5,5,20,30.0
1090249,723,prior,5,6,11,30.0
2405812,64624,prior,10,0,16,14.0
1309011,78269,prior,3,3,19,10.0
630124,114681,prior,1,0,22,
498648,24013,prior,12,5,22,12.0
1486553,118505,prior,37,3,14,8.0
1457356,66766,prior,26,5,14,3.0
901298,176961,prior,12,4,17,26.0
2483065,163651,prior,27,5,7,3.0
1735136,116262,prior,4,3,9,11.0
2782935,201007,train,5,2,9,5.0
1382339,11997,prior,68,1,8,5.0
240910,204368,prior,26,0,1,4.0
478538,72231,prior,37,3,9,8.0
1528757,175071,prior,20,3,18,4.0
2858737,205330,prior,6,2,16,30.0
264118,155151,prior,5,6,15,30.0
2365911,153053,prior,23,5,16,12.0
2658183,191076,prior,3,2,16,11.0
2062484,59190,prior,12,6,8,15.0
1074239,52254,prior,26,3,16,10.0
665491,58206,prior,2,1,8,30.0
1091892,21283,prior,87,0,14,1.0
1259080,88565,prior,4,1,0,4.0
739260,167951,prior,5,0,21,3.0
3393105,191494,train,19,0,9,6.0
1316857,65438,prior,28,4,17,11.0
3213969,136632,prior,26,5,15,15.0
207057,65269,prior,5,6,16,11.0
1237289,202923,prior,19,5,13,8.0
1681150,161283,prior,2,1,10,25.0
2881580,176545,prior,7,6,13,5.0
1518787,12166,prior,25,2,11,1.0
2998047,48148,prior,17,0,23,0.0
814359,169004,test,10,0,20,5.0
3352249,176374,prior,1,4,13,
1763318,84164,prior,4,1,11,27.0
3207000,169901,prior,8,3,11,6.0
2016899,18090,prior,5,0,16,8.0
501954,183471,prior,3,1,17,30.0
1303506,105018,prior,8,3,5,0.0
3027021,93836,prior,20,0,14,7.0
1016852,153361,train,8,1,9,30.0
3064731,61796,prior,33,0,12,14.0
641291,41879,train,58,6,7,2.0
3111640,55171,prior,10,4,13,24.0
137627,172693,prior,16,6,17,1.0
1722316,55938,prior,18,0,14,10.0
2613125,48771,prior,10,0,16,7.0
3399028,36896,prior,28,0,11,28.0
106886,28775,prior,27,2,1,4.0
596806,203131,prior,1,3,16,
3305022,77827,prior,13,2,13,13.0
2224105,98085,prior,46,5,15,2.0
2005275,30055,prior,15,2,17,5.0
769219,173529,prior,34,5,12,5.0
877452,27610,prior,2,0,14,17.0
849890,19031,prior,44,3,14,1.0
586804,94454,prior,4,1,10,7.0
1281318,122725,prior,47,5,16,3.0
2109435,153264,prior,18,1,14,10.0
1623028,3710,test,5,4,11,30.0
2069394,25115,prior,28,0,11,3.0
1618395,60688,prior,3,0,16,20.0
2453897,21629,prior,2,4,22,6.0
3280664,183926,prior,46,1,11,6.0
2125281,33799,prior,38,3,9,6.0
1867819,65150,prior,5,0,15,3.0
2669493,75524,prior,9,6,11,20.0
1816148,35582,prior,1,1,19,
2285601,70060,prior,16,5,23,6.0
2713536,95839,prior,11,0,16,2.0
121294,42941,prior,2,0,11,7.0
3384430,7484,prior,10,2,18,6.0
1177391,15864,prior,28,6,9,9.0
3277830,159462,prior,3,2,16,6.0
3187833,140810,prior,5,4,12,4.0
808901,114410,prior,40,5,15,2.0
1171620,121684,prior,12,4,18,9.0
980030,11216,prior,38,6,10,6.0
1697868,106301,prior,1,0,9,
3077768,60291,prior,3,2,15,0.0
1970758,64258,prior,14,6,9,5.0
288558,109681,prior,13,2,6,4.0
522557,36417,prior,5,2,11,30.0
631845,20848,prior,4,2,10,30.0
395656,23460,prior,16,1,8,30.0
3263374,68266,prior,9,0,17,5.0
1721352,130740,prior,12,4,15,0.0
1731101,52155,prior,15,0,8,3.0
46407,162842,prior,11,3,17,20.0
361673,122140,prior,11,1,20,6.0
1589427,83637,prior,2,0,11,2.0
594714,183625,prior,20,5,17,3.0
606249,34051,prior,1,0,20,
834465,4441,prior,32,0,11,2.0
3160230,69953,prior,11,4,16,2.0
3272947,188940,prior,18,4,6,17.0
3145172,107152,prior,68,3,20,1.0
2193062,50151,prior,1,2,16,
463234,69984,prior,22,0,12,5.0
634721,2590,prior,5,2,14,30.0
2463924,203385,prior,18,5,11,14.0
585232,187202,prior,46,4,15,9.0
3140727,113581,prior,2,1,0,30.0
1072974,190515,prior,6,1,11,17.0
141929,106059,train,29,1,16,6.0
1352265,141814,prior,4,4,16,1.0
2584328,144686,prior,5,3,13,10.0
3116677,43862,prior,11,0,15,21.0
377288,205848,prior,4,2,15,19.0
1967122,53306,prior,3,4,16,21.0
2578956,88733,prior,18,6,10,5.0
2702859,63688,prior,17,6,16,6.0
2760654,116847,prior,1,0,13,
2734947,154881,prior,38,0,11,5.0
1977058,31706,prior,53,3,19,5.0
3374973,169621,prior,30,6,18,2.0
2049068,62641,prior,7,2,15,30.0
1043520,136112,prior,34,1,12,2.0
122376,89456,prior,4,1,15,25.0
491944,87030,prior,18,4,11,7.0
1583060,188765,prior,2,4,12,1.0
3051499,47849,prior,47,6,10,9.0
324142,3648,prior,28,4,17,5.0
633060,9091,prior,2,6,13,14.0
16087,159609,prior,11,4,23,5.0
1772871,127898,prior,22,1,9,7.0
2875293,67479,prior,15,2,18,7.0
2614338,17011,prior,3,0,16,25.0
943981,97264,prior,32,1,12,6.0
2069969,93104,test,11,0,13,6.0
73739,59274,prior,16,1,23,21.0
2322529,31255,prior,27,6,15,5.0
1713385,152958,prior,6,0,12,21.0
281920,125957,prior,4,4,13,30.0
1943016,100329,prior,42,1,12,4.0
702285,115546,prior,3,3,20,5.0
265753,65661,prior,18,3,10,2.0
602519,27171,prior,6,3,11,7.0
2155353,197186,prior,17,2,17,25.0
1372401,17408,prior,14,5,13,7.0
959318,181970,prior,35,3,14,1.0
3406756,155475,prior,31,6,2,7.0
644614,124085,prior,21,1,13,1.0
41107,35494,prior,50,4,18,4.0
3211104,140193,prior,1,5,15,
1883418,192186,prior,8,3,11,30.0
165517,40445,prior,23,2,13,4.0
2668669,167439,prior,27,5,21,23.0
2856759,159728,prior,2,1,12,6.0
2126606,135970,prior,2,1,19,30.0
1489522,168358,prior,4,6,16,8.0
1192938,53566,prior,55,2,12,1.0
649480,160284,prior,11,1,19,14.0
289134,115180,prior,20,6,10,11.0
3135220,124812,prior,2,1,14,1.0
12690,76725,prior,2,2,17,7.0
84078,87148,prior,16,3,12,28.0
1597921,20850,prior,22,1,15,11.0
1829323,85358,prior,10,0,19,7.0
2535439,182039,prior,1,4,10,
2122140,31098,prior,61,3,15,3.0
827934,11242,prior,4,1,18,30.0
1093683,113222,prior,18,0,11,30.0
3202061,181753,prior,4,3,18,30.0
2813741,52560,prior,7,1,22,6.0
2914009,97871,prior,2,0,10,30.0
59964,172822,prior,4,0,10,30.0
2458205,97210,prior,10,5,11,2.0
41390,189424,prior,1,4,21,
954314,71931,prior,1,0,19,
2718636,161037,prior,8,6,19,27.0
3282919,178795,prior,6,0,15,30.0
633496,52874,prior,25,4,14,2.0
1977972,166466,prior,6,1,11,7.0
1481983,143348,prior,18,2,7,14.0
860636,112811,train,16,1,7,30.0
2879450,35420,prior,3,0,14,30.0
3420148,140171,prior,4,3,14,2.0
1858974,191334,prior,74,4,11,1.0
240454,35231,prior,24,1,22,13.0
1763450,139547,prior,17,0,7,4.0
506884,174647,prior,12,5,16,7.0
1859750,156058,prior,1,0,16,
2183131,88484,prior,12,1,14,13.0
186527,111593,prior,13,5,12,7.0
3104742,197148,prior,58,6,17,13.0
2119120,158764,prior,36,5,21,1.0
3364670,90012,prior,7,1,11,15.0
2633352,134319,prior,1,4,8,
783175,163324,prior,36,4,6,4.0
2643378,73035,prior,19,1,16,5.0
184857,174784,prior,6,0,10,6.0
2928197,192607,prior,13,3,16,2.0
734951,195721,prior,44,5,12,10.0
3190998,4375,prior,38,3,12,5.0
3302971,201896,prior,41,1,7,4.0
684513,58951,prior,4,1,18,3.0
1902009,153491,prior,13,1,20,6.0
2640467,86959,prior,24,6,10,7.0
665725,18037,prior,66,6,13,3.0
859638,59541,prior,10,2,11,30.0
458267,94851,prior,1,0,12,
1675049,37342,prior,1,3,8,
707856,19047,prior,2,4,12,10.0
2615242,70545,prior,6,0,8,30.0
889231,63248,prior,9,5,17,4.0
2587570,149298,prior,10,0,7,19.0
2773188,205673,prior,7,6,19,30.0
615224,64129,prior,8,3,17,9.0
2013202,127908,prior,8,1,8,5.0
2696691,95437,prior,16,1,17,9.0
3132311,123210,prior,5,3,16,30.0
2765397,108972,prior,5,2,10,1.0
2708259,34887,prior,11,0,10,2.0
1453779,83198,prior,14,2,16,8.0
1673496,84272,prior,3,3,13,16.0
2170885,176136,prior,1,3,10,
2220690,152456,prior,5,6,16,6.0
258208,17887,prior,3,6,14,6.0
2062072,61486,prior,2,0,9,19.0
1506706,186534,prior,21,1,14,7.0
2224183,15724,prior,11,1,14,30.0
2360708,13583,prior,2,3,12,0.0
511285,191814,prior,40,0,11,7.0
961685,54042,prior,36,0,17,3.0
201203,8696,prior,1,5,12,
2529653,127995,prior,40,2,11,9.0
463747,151061,prior,7,3,13,1.0
2430580,19512,prior,55,5,7,6.0
2139039,125125,prior,67,6,13,3.0
2473051,130188,prior,18,1,9,6.0
1488250,86047,prior,15,3,10,30.0
3232181,8308,prior,19,1,16,8.0
1791047,103653,test,15,5,12,4.0
1325087,46098,prior,1,0,13,
607134,89346,prior,15,1,15,4.0
1287688,59604,prior,96,1,19,2.0
238314,126257,prior,4,4,23,7.0
312615,114976,prior,3,5,15,30.0
1763054,68754,test,19,3,18,16.0
1009880,197285,prior,1,0,18,
1276810,119155,prior,3,5,12,21.0
1694723,199987,prior,4,2,10,30.0
2192720,96617,prior,19,6,16,12.0
2749815,45398,prior,11,1,15,23.0
2452578,19613,train,4,2,16,29.0
1397408,10777,prior,4,5,17,30.0
58537,93912,prior,8,3,20,22.0
1643275,164392,prior,47,0,9,21.0
2258453,75223,prior,10,1,16,7.0
1020379,130543,prior,2,2,6,8.0
779559,99968,prior,5,5,13,7.0
90678,97435,prior,38,0,11,8.0
1867456,17740,prior,40,2,18,11.0
598599,176713,prior,4,2,14,30.0
1284826,170217,prior,78,2,18,2.0
1822405,22073,prior,2,0,12,13.0
1942267,172751,prior,14,6,11,21.0
933245,36872,prior,29,6,14,8.0
1700513,134968,test,47,0,23,7.0
1184995,79250,prior,4,0,19,18.0
893839,50326,prior,2,5,10,27.0
468247,146034,prior,15,0,11,6.0
3260027,151499,prior,14,6,12,17.0
1505908,184843,prior,3,6,14,30.0
420559,173124,prior,17,1,11,5.0
2504744,102972,test,8,3,13,6.0
1302835,56591,prior,1,3,11,
2168198,195665,prior,96,3,17,3.0
1476928,39459,prior,3,4,12,12.0
3326833,184439,prior,4,6,14,6.0
2282516,156772,prior,1,6,21,
3408966,146182,prior,5,3,10,2.0
3362895,132402,prior,15,3,15,16.0
2865394,186507,prior,99,3,11,1.0
1979074,55696,prior,3,2,14,22.0
723176,98450,prior,17,6,15,6.0
2089521,195384,train,7,6,10,21.0
1955946,166916,prior,51,5,16,8.0
1690442,190212,prior,37,4,16,3.0
2688054,122496,prior,9,0,12,16.0
1367772,116164,prior,4,6,1,30.0
934893,58746,train,4,3,16,30.0
207028,34471,prior,22,5,16,6.0
2568212,108564,prior,86,1,17,4.0
885490,78104,prior,29,3,8,2.0
800340,116910,prior,28,0,22,6.0
2266676,160532,prior,42,5,19,3.0
2896339,131376,prior,9,5,8,30.0
1164505,87607,prior,10,0,16,7.0
550323,193617,prior,4,0,18,7.0
1327953,79340,prior,35,1,11,4.0
1933266,114020,train,7,3,15,7.0
951430,161853,prior,1,6,16,
3280868,74100,prior,60,5,10,0.0
2926055,175429,prior,47,2,15,1.0
1779617,19545,prior,2,3,10,22.0
3018334,95063,prior,10,6,14,1.0
431624,134593,prior,18,3,15,12.0
3095662,164942,prior,4,2,9,30.0
1979,46712,prior,9,6,15,18.0
1450468,84074,prior,28,4,18,2.0
1078932,70955,prior,10,5,11,4.0
1559343,177620,prior,5,1,21,8.0
1089763,91060,prior,9,5,19,6.0
1049480,58640,prior,4,2,13,30.0
2316668,4980,prior,20,1,8,8.0
3108523,3530,prior,59,5,9,3.0
87225,80260,prior,3,2,16,8.0
3046401,22068,prior,16,6,19,4.0
2312313,30445,prior,5,2,11,13.0
1358767,22829,prior,6,0,14,30.0
728499,161104,prior,12,3,14,23.0
2504161,112319,prior,23,6,13,7.0
1513314,44438,prior,15,3,13,15.0
591914,120228,prior,1,0,18,
864039,60040,prior,8,2,11,15.0
657887,123587,train,14,3,16,30.0
742370,32429,prior,9,3,8,9.0
489788,95765,prior,14,4,14,1.0
1404492,134806,prior,34,0,7,9.0
2058684,201605,prior,36,6,19,0.0
3034607,180075,prior,15,6,8,7.0
370282,58080,prior,3,1,14,10.0
501023,171910,prior,2,6,15,30.0
2437182,50106,prior,3,0,12,7.0
2447619,49280,test,4,1,15,30.0
2474850,100741,test,14,0,13,30.0
2597490,58437,prior,1,0,7,
273162,96065,prior,5,4,8,5.0
2150559,60513,prior,3,5,19,3.0
2677981,155807,prior,2,3,10,30.0
1404810,54,prior,71,4,10,3.0
642277,116550,prior,6,2,15,29.0
160979,151682,prior,9,1,13,3.0
3250827,189267,prior,1,4,17,
2099347,92148,prior,54,0,15,3.0
3320211,21138,prior,21,2,14,21.0
2492486,114657,prior,12,3,15,27.0
675186,78593,prior,2,1,22,8.0
1990132,166015,prior,7,2,12,21.0
1592212,19933,prior,34,1,11,8.0
1988496,163591,prior,16,1,9,8.0
750673,135277,prior,2,6,10,13.0
940203,136261,prior,8,5,22,27.0
500164,165005,prior,81,3,16,1.0
1759325,5788,prior,7,2,13,30.0
3052519,152743,prior,21,2,13,8.0
1086409,205815,prior,14,1,16,5.0
2899699,73178,prior,5,6,11,30.0
1288077,75029,prior,42,4,13,5.0
877637,163562,prior,27,5,18,30.0
111707,10763,test,11,0,9,25.0
3288802,109262,prior,14,3,16,4.0
1253953,95973,prior,8,2,14,16.0
2089320,9082,prior,43,3,13,1.0
539091,37866,prior,63,4,10,2.0
892414,184511,prior,29,1,21,8.0
1504674,132083,prior,2,6,19,6.0
1295533,190898,prior,31,5,11,3.0
228208,101400,prior,37,5,10,22.0
1622903,188314,prior,4,4,6,10.0
2162140,55415,prior,35,3,14,0.0
2146458,20367,prior,20,0,18,11.0
2218402,182262,prior,10,0,13,13.0
3108424,83028,prior,2,5,11,7.0
52303,158006,prior,10,0,15,15.0
290612,15564,prior,19,3,11,8.0
2231002,18269,prior,4,1,9,13.0
630482,5912,prior,43,6,16,2.0
2144563,148236,prior,23,2,9,26.0
80733,130266,prior,10,3,14,30.0
1403903,17472,prior,18,4,11,3.0
799778,32391,prior,24,0,14,30.0
900705,151443,prior,21,0,16,4.0
1857095,197493,prior,13,1,8,7.0
1927732,45528,prior,5,1,16,4.0
100477,47399,prior,4,6,12,8.0
847807,65427,prior,5,5,12,3.0
2968868,157182,prior,2,2,19,15.0
3145952,153387,prior,27,4,7,2.0
3350493,117704,prior,5,2,15,30.0
1471188,11945,prior,1,2,11,
1919525,8283,prior,11,1,18,9.0
2995048,12641,prior,28,5,15,1.0
2945330,159853,prior,28,5,15,3.0
1492895,100284,prior,1,0,9,
381263,151530,prior,12,2,9,8.0
858846,172652,prior,22,0,15,4.0
1773693,28159,prior,6,1,12,3.0
2499388,174946,prior,17,4,16,1.0
3075157,156960,prior,2,6,8,6.0
277791,86404,test,56,1,14,8.0
2452546,45741,prior,13,4,9,8.0
2535418,140129,prior,41,2,21,8.0
1799325,110354,prior,3,4,15,17.0
3216029,1734,prior,1,5,8,
604726,40545,prior,21,0,16,14.0
577525,59248,prior,4,5,10,9.0
3263280,15487,prior,3,5,10,7.0
3114194,55604,prior,6,2,18,6.0
2833284,54001,prior,16,2,10,5.0
1262595,92768,prior,8,0,14,4.0
791351,135474,prior,27,0,13,3.0
2554339,72648,prior,9,2,10,3.0
1140740,35737,prior,29,3,21,3.0
1784127,94539,prior,3,5,22,4.0
1814815,7912,prior,40,1,19,3.0
1296374,151464,prior,1,3,16,
1005466,204430,prior,6,0,18,6.0
444066,151126,prior,27,5,2,13.0
571246,170111,prior,28,2,6,12.0
1217155,197679,train,12,0,8,6.0
354812,152538,prior,26,6,16,3.0
2778972,67498,prior,14,3,20,1.0
1683449,45316,prior,8,1,11,15.0
2541546,155782,prior,14,1,16,30.0
2541655,138278,prior,27,0,17,14.0
1382495,137209,prior,3,5,11,3.0
1849438,157923,prior,9,0,16,17.0
727804,105271,prior,24,2,18,2.0
3113124,80559,prior,1,0,10,
2684584,186983,prior,1,0,13,
652325,102456,prior,1,3,10,
2128264,64606,prior,11,1,1,6.0
3071075,153471,prior,59,2,13,2.0
2395441,130051,prior,31,2,20,17.0
250961,142646,prior,23,2,20,1.0
928789,65795,prior,14,6,10,6.0
2194090,106547,prior,1,3,13,
360698,9913,prior,14,1,8,4.0
1434754,74193,prior,40,5,15,3.0
1634929,71489,prior,10,6,14,4.0
1255103,73156,prior,18,1,16,12.0
67015,88220,prior,22,4,10,28.0
3013325,204012,prior,9,3,9,8.0
2373605,118053,prior,29,4,19,1.0
2111264,166718,prior,2,6,15,6.0
1849720,95648,prior,25,1,23,3.0
24739,101036,prior,6,2,23,6.0
984902,100142,prior,18,3,16,3.0
2583543,35661,prior,15,1,19,11.0
370754,44711,train,4,1,8,30.0
3081864,113372,prior,2,5,20,2.0
2652551,122853,test,31,6,14,10.0
1278034,182738,prior,4,6,13,6.0
2184933,141585,prior,7,6,10,11.0
1026650,92492,prior,35,4,14,13.0
3047442,59532,prior,7,3,15,28.0
1187193,186047,prior,10,5,17,30.0
2437450,166726,prior,26,5,15,10.0
2395339,41001,prior,1,2,16,
2779189,86755,prior,17,3,23,5.0
157494,136084,prior,41,1,9,11.0
1018317,183368,prior,2,3,20,30.0
3230969,3018,prior,7,1,13,5.0
1345622,106944,prior,9,4,9,30.0
2509823,127025,prior,10,1,12,6.0
164974,9097,prior,2,3,18,6.0
2777738,180515,prior,17,2,10,4.0
1629807,52832,prior,5,1,19,3.0
1972009,75,prior,19,6,12,7.0
2808736,102973,prior,1,4,17,
625649,6364,prior,5,0,21,4.0
585128,70220,prior,15,2,11,13.0
1587705,197064,test,14,4,11,12.0
2024021,91427,prior,9,5,11,28.0
1980247,56843,prior,26,3,9,7.0
3162142,5677,prior,4,3,10,6.0
1392837,204709,prior,6,4,11,2.0
2436824,32750,prior,20,3,11,12.0
2487456,64570,prior,20,4,19,3.0
1037858,171821,prior,6,0,14,20.0
1223336,186731,prior,11,0,12,3.0
162064,161723,prior,16,4,13,4.0
404863,74607,prior,55,3,10,5.0
2432778,189561,prior,9,5,13,7.0
554729,45639,prior,61,1,21,2.0
3319398,50354,prior,4,0,7,2.0
1563686,71944,prior,6,4,7,30.0
87744,26030,prior,19,4,15,0.0
3369792,35717,prior,15,1,7,7.0
1819983,196733,prior,5,4,12,16.0
1041207,87919,prior,29,0,16,7.0
1560494,53472,prior,38,3,15,7.0
791530,164078,prior,5,1,11,7.0
3151419,180038,prior,10,4,17,9.0
604891,96888,prior,18,2,19,0.0
2553555,201514,train,6,3,10,7.0
369004,174050,prior,9,1,11,8.0
2978351,197395,prior,6,2,18,30.0
175549,45364,train,5,0,13,30.0
148895,169242,prior,24,2,12,8.0
2215256,86797,prior,11,1,17,6.0
999336,111539,prior,22,1,21,7.0
1728726,58717,prior,5,2,8,6.0
656308,152325,prior,11,4,19,2.0
590366,164037,prior,10,1,3,6.0
366997,121991,prior,14,0,14,12.0
2875110,11650,prior,15,5,18,6.0
2394936,193609,train,16,1,17,30.0
1230473,61940,prior,46,0,10,8.0
225717,84724,prior,14,1,11,4.0
2270853,152774,prior,3,6,20,3.0
3058241,59456,prior,7,5,14,4.0
1585364,100482,prior,13,5,18,14.0
2318037,129532,prior,12,6,16,30.0
2351766,72112,prior,1,0,10,
2765428,129768,prior,5,2,20,12.0
462361,178184,prior,9,1,8,15.0
2608310,37987,prior,26,4,15,4.0
2376077,193265,prior,2,5,9,7.0
504374,194895,prior,33,1,7,4.0
244996,177330,prior,1,1,13,
210242,182963,prior,24,2,13,12.0
1791656,72508,prior,24,2,8,14.0
1890464,33059,prior,57,1,13,8.0
2536828,99716,prior,22,5,8,18.0
2632189,128192,prior,6,4,13,14.0
2216036,194412,prior,13,5,18,3.0
262256,135405,prior,4,2,7,6.0
733560,139377,prior,3,0,22,14.0
2041240,186006,prior,82,2,9,1.0
2710972,117610,prior,8,5,20,10.0
142820,151118,prior,3,3,17,1.0
849812,148429,prior,3,3,12,30.0
618156,93262,prior,1,1,12,
655166,37181,test,18,5,13,14.0
285782,85229,prior,48,6,20,5.0
2186745,161337,prior,50,3,18,5.0
1651520,117518,prior,19,0,19,11.0
2808818,191508,prior,3,2,14,13.0
1065912,206005,prior,8,5,22,4.0
1517304,29541,prior,7,1,17,6.0
2275869,52704,prior,14,1,18,14.0
23023,120479,prior,3,0,11,30.0
1637147,89833,prior,4,0,14,30.0
1094676,153076,prior,5,0,17,30.0
822625,109507,prior,1,1,11,
1290063,149419,prior,6,3,13,30.0
1723764,23107,prior,23,1,10,20.0
1432046,102311,prior,3,2,10,8.0
982561,133474,prior,3,6,19,0.0
2968660,182825,prior,7,4,16,7.0
276904,38813,prior,6,4,16,4.0
2218076,40028,prior,5,3,14,30.0
887401,74945,prior,3,4,8,30.0
974235,17622,prior,11,4,10,2.0
2424247,198757,prior,5,3,10,9.0
2897400,9845,prior,6,5,11,26.0
145014,146686,prior,55,4,14,4.0
269298,93715,prior,11,6,19,10.0
232317,3177,prior,2,2,14,17.0
1389798,91713,prior,11,1,18,0.0
538258,21348,prior,13,5,9,5.0
2055012,57267,prior,69,5,10,3.0
1394471,21299,prior,10,2,16,3.0
629517,2951,prior,40,1,18,7.0
1047124,98641,prior,28,4,13,4.0
2408901,141017,test,10,0,10,27.0
172761,179811,prior,44,1,13,4.0
3071666,193179,prior,2,0,18,6.0
1226646,192745,prior,24,1,16,6.0
2922795,191174,prior,3,4,16,3.0
1848078,82781,prior,36,0,17,8.0
2355695,86661,prior,61,1,14,3.0
591024,55870,prior,6,2,9,30.0
622755,93701,prior,3,4,16,0.0
241386,95062,prior,30,1,10,1.0
516645,114675,prior,2,6,17,9.0
571693,162071,prior,11,2,14,7.0
2564361,20012,prior,5,1,11,13.0
2496904,184040,prior,31,5,9,10.0
